date,outflow (m3/d),inflow (m3/d),spill (m3/d),avg water temperature (C),elevation (m)
1999-01-01,185107601.20319998,193523807.232,0.0,,237.72571200000002
1999-01-02,277930524.672,280621753.34400004,0.0,,237.76228799999998
1999-01-03,298065808.2816,298726382.59199995,0.0,,237.70132800000002
1999-01-04,366031565.1072,374570099.712,0.0,,237.792768
1999-01-05,349468275.9168,346923841.5360001,0.0,,237.81715200000002
1999-01-06,349419344.48639995,341052069.888,0.0,,237.68304
1999-01-07,303497197.056,301662268.41599995,0.0,,237.68608799999998
1999-01-08,345700555.776,352795613.18399996,0.0,,237.603792
1999-01-09,320378540.5439999,314384440.32,0.0,,237.69523200000003
1999-01-10,266872021.40159997,266676295.67999998,0.0,,237.518448
1999-01-11,345871815.78239995,348881098.752,0.0,,237.676944
1999-01-12,352086107.4432,360869299.2,0.0,,237.69828
1999-01-13,342153027.07199997,331510440.96,0.0,,237.68913600000002
1999-01-14,336183392.5632,337626869.76,0.0,,237.707424
1999-01-15,330189292.3392,329797840.896,0.0,,237.676944
1999-01-16,318396817.6128,320990183.42399997,0.0,,237.65560800000003
1999-01-17,299656079.76960003,293588582.40000004,0.0,,237.60684
1999-01-18,335009038.2336,343498641.408,0.0,,237.658656
1999-01-19,321039114.8544,320011554.81600004,0.0,,237.73180800000003
1999-01-20,338140649.7792,342275355.648,0.0,,237.68608799999998
1999-01-21,323216563.5072,317320326.14399993,0.0,,237.74095200000002
1999-01-22,327204475.08480006,327595926.52800006,0.0,,237.77143200000003
1999-01-23,257966501.06879997,248327009.28,0.0,,237.53368799999998
1999-01-24,243189209.088,250284266.49599996,0.0,,237.63732000000002
1999-01-25,343425244.26240003,357688756.224,0.0,,237.73180800000003
1999-01-26,374349908.27519995,370655585.28,0.0,,237.670848
1999-01-27,373102156.8,370410928.128,0.0,,237.658656
1999-01-28,353847638.9376,355242184.70399994,0.0,,237.78057600000002
1999-01-29,355388978.9952,341541384.192,0.0,,237.710472
1999-01-30,305625714.2784,310225268.736,0.0,,237.57636000000002
1999-01-31,287423222.16959995,270590810.112,0.0,,237.57940800000003
1999-02-01,337015226.88000005,355976156.16,0.0,,237.40872000000002
1999-02-02,411733521.1008,420320987.13600004,0.0,,237.798864
