date,avg discharge (cfs),avg discharge (m3/d)
1999-01-01 00:00:00+00:00,3.0,7339.714559999999
1999-01-02 00:00:00+00:00,3.0,7339.714559999999
1999-01-03 00:00:00+00:00,3.0,7339.714559999999
1999-01-04 00:00:00+00:00,3.0,7339.714559999999
1999-01-05 00:00:00+00:00,3.0,7339.714559999999
1999-01-06 00:00:00+00:00,3.0,7339.714559999999
1999-01-07 00:00:00+00:00,3.0,7339.714559999999
1999-01-08 00:00:00+00:00,3.0,7339.714559999999
1999-01-09 00:00:00+00:00,3.2,7829.028864
1999-01-10 00:00:00+00:00,3.2,7829.028864
1999-01-11 00:00:00+00:00,3.2,7829.028864
1999-01-12 00:00:00+00:00,3.2,7829.028864
1999-01-13 00:00:00+00:00,3.2,7829.028864
1999-01-14 00:00:00+00:00,3.2,7829.028864
1999-01-15 00:00:00+00:00,3.2,7829.028864
1999-01-16 00:00:00+00:00,3.0,7339.714559999999
1999-01-17 00:00:00+00:00,3.0,7339.714559999999
1999-01-18 00:00:00+00:00,2.9,7095.057408
1999-01-19 00:00:00+00:00,2.9,7095.057408
1999-01-20 00:00:00+00:00,2.9,7095.057408
1999-01-21 00:00:00+00:00,3.0,7339.714559999999
1999-01-22 00:00:00+00:00,3.0,7339.714559999999
1999-01-23 00:00:00+00:00,3.0,7339.714559999999
1999-01-24 00:00:00+00:00,3.0,7339.714559999999
1999-01-25 00:00:00+00:00,3.0,7339.714559999999
1999-01-26 00:00:00+00:00,3.2,7829.028864
1999-01-27 00:00:00+00:00,3.2,7829.028864
1999-01-28 00:00:00+00:00,3.2,7829.028864
1999-01-29 00:00:00+00:00,3.0,7339.714559999999
1999-01-30 00:00:00+00:00,3.0,7339.714559999999
1999-01-31 00:00:00+00:00,3.0,7339.714559999999
1999-02-01 00:00:00+00:00,3.0,7339.714559999999
1999-02-02 00:00:00+00:00,3.0,7339.714559999999
1999-02-03 00:00:00+00:00,3.0,7339.714559999999
1999-02-04 00:00:00+00:00,3.0,7339.714559999999
1999-02-05 00:00:00+00:00,3.0,7339.714559999999
1999-02-06 00:00:00+00:00,3.0,7339.714559999999
1999-02-07 00:00:00+00:00,3.0,7339.714559999999
1999-02-08 00:00:00+00:00,3.0,7339.714559999999
1999-02-09 00:00:00+00:00,3.0,7339.714559999999
1999-02-10 00:00:00+00:00,0.64,1565.8057727999999
1999-02-11 00:00:00+00:00,0.03,73.3971456
1999-02-12 00:00:00+00:00,0.03,73.3971456
1999-02-13 00:00:00+00:00,0.03,73.3971456
1999-02-14 00:00:00+00:00,0.03,73.3971456
1999-02-15 00:00:00+00:00,0.03,73.3971456
1999-02-16 00:00:00+00:00,0.03,73.3971456
1999-02-17 00:00:00+00:00,0.03,73.3971456
1999-02-18 00:00:00+00:00,0.03,73.3971456
1999-02-19 00:00:00+00:00,0.03,73.3971456
1999-02-20 00:00:00+00:00,0.03,73.3971456
1999-02-21 00:00:00+00:00,0.03,73.3971456
1999-02-22 00:00:00+00:00,0.03,73.3971456
1999-02-23 00:00:00+00:00,0.03,73.3971456
1999-02-24 00:00:00+00:00,0.03,73.3971456
1999-02-25 00:00:00+00:00,0.03,73.3971456
1999-02-26 00:00:00+00:00,0.03,73.3971456
1999-02-27 00:00:00+00:00,0.03,73.3971456
1999-02-28 00:00:00+00:00,0.03,73.3971456
1999-03-01 00:00:00+00:00,0.03,73.3971456
1999-03-02 00:00:00+00:00,0.03,73.3971456
1999-03-03 00:00:00+00:00,0.03,73.3971456
1999-03-04 00:00:00+00:00,0.03,73.3971456
1999-03-05 00:00:00+00:00,0.03,73.3971456
1999-03-06 00:00:00+00:00,0.03,73.3971456
1999-03-07 00:00:00+00:00,0.03,73.3971456
1999-03-08 00:00:00+00:00,0.03,73.3971456
1999-03-09 00:00:00+00:00,0.03,73.3971456
1999-03-10 00:00:00+00:00,0.03,73.3971456
1999-03-11 00:00:00+00:00,0.03,73.3971456
1999-03-12 00:00:00+00:00,0.03,73.3971456
1999-03-13 00:00:00+00:00,0.03,73.3971456
1999-03-14 00:00:00+00:00,0.03,73.3971456
1999-03-15 00:00:00+00:00,0.03,73.3971456
1999-03-16 00:00:00+00:00,0.03,73.3971456
1999-03-17 00:00:00+00:00,0.03,73.3971456
